objid_1,ra,dec,l,b,gr,ug,ur,teff_adop,teff_adop_unc,logg_adop,logg_adop_unc,logg_annrr,logg_annrr_unc,logg_spec,logg_spec_unc,rv_adop,rv_adop_unc,abs_mag_gr,abs_mag_gr_unc,abs_mag_ur,abs_mag_ur_unc,dist_gr,dist_gr_unc,dist_ur,dist_ur_unc,probability
1237648703520112952,221.719257811566,-0.747898461695034,352.518844248885,50.6635038654746,-0.163688100000002,1.2892785,1.1255904,8180.0176,57.59347,3.070548,0.43623757,3.7023172,0.0589,3.4512873,0.2510301,11.947849,8.677757000000001,0.476070602573271,0.0331390599559272,0.428597357759983,0.0339422245558701,54240.5468591008,947.27186961625,55439.4238746635,470.928821032547,83.71
1237658491210956939,192.414943100265,8.75467029150338,301.53818592919,71.6215248711374,-0.135623669999998,1.17024558,1.03462191,8224.053,137.41803,3.1619513,0.25524345,3.118506,0.1693,3.363481,0.24497499,86.05609,8.473732,0.44275861405234,0.0322813220027669,0.484886313536506,0.0384873290220758,55553.1975400813,985.94687627956,54485.8237600891,528.395881887153,100.0
1237658491211940038,194.59512390002,8.65236427733143,308.332939689829,71.4511918726178,-0.102006339999999,1.17000922,1.06800288,7906.3887,101.476295,3.378874,0.1290882,3.1070871,0.0705,3.4234872,0.17179383,-24.176666,6.739357000000001,0.408517575342598,0.0352408180100948,0.463117281661262,0.0261816727550415,40479.6604516284,818.251053684904,39474.5256230681,475.797842922943,100.0
1237665102745829430,209.07080369372,32.8603203490131,59.075067762726,74.8566294197111,0.0217469500000043,1.07772537,1.09947232,7558.369,40.78853,3.909903,0.4613026,3.909903,0.0694,3.2192268,0.6906762,51.56129,10.286629,0.317989022950163,0.0197511072091163,0.443805312977775,0.0351660929485788,53763.6794912409,868.843716053887,50737.1099240152,677.850287684827,68.18
1237661416060747873,195.904376244889,55.9124751962325,119.396664444271,61.1322379469449,-0.00272849000000264,1.02078495,1.01805646,7554.8403,66.1611,4.2206235,0.36420178,3.7017164,0.1575,4.2903395,0.58862334,-90.94102,11.734108,0.332564559483709,0.0149293821480634,0.496219289315251,0.0230603827562275,42278.0531217729,444.992566754505,39208.8436402102,312.612628830008,74.83
1237662474226106490,232.594147522571,38.9117250950799,62.8451133041259,54.9814331230439,-0.105433719999997,1.06425561,0.958821889999999,8168.544,93.56312,3.6059518,0.08795178,3.6939034,0.1458,3.6939034,0.1458,-275.5161,12.205376,0.411764165749288,0.0279340381760244,0.539947297277496,0.0598043698261521,64936.7215744575,1012.57553669406,61214.4190963938,539.780822750945,58.71
1237661416065007717,212.06366200319,53.0836398109405,99.3635432717734,60.3876946413562,-0.079065209999996,1.12539956,1.04633435,7556.425,77.042114,3.6945043,0.40301117,3.6945043,0.0572,3.1030068,0.5914973,-272.59995,11.558747,0.388038680363437,0.0268579473462443,0.477089996653556,0.0271268400175177,39165.0964077259,663.178957166124,37591.4377750207,434.842107107904,91.18
1237648704042041533,187.62048944022,-0.230863623441538,291.648767616034,62.1808521217372,-0.129711030000003,1.26181043,1.1320994,8000.161,301.12418,3.2645493,0.28090763,2.9836416,0.1116,3.2645493,0.28090763,56.691230000000004,7.197779700000001,0.436326321079417,0.0299080615760568,0.424916546161935,0.0272092738033625,48418.5487053325,765.233044203215,48673.6284692342,377.447665297462,100.0
1237648704042696919,189.11872953194,-0.390408699650552,294.8780272776,62.2470579691901,-0.00211354999999713,1.26589025,1.2637767,7819.722,68.98484,3.8635323,0.5561044,3.0907397,0.1378,3.8635323,0.5561044,71.0937,7.437371000000001,0.332182007231944,0.0195863932093283,0.358595668269562,0.0223402561942307,51920.3948473348,751.305452306271,51292.66383852,580.474958541189,100.0
1237657612338593996,174.275868714297,57.412934223836,141.294357467776,56.9861765895881,-0.0237995099999999,1.07140737,1.04760786,7684.213,33.367474,3.8232384,0.36254764,3.8232384,0.0907,4.3511033,0.52786493,-50.716553000000005,11.93337,0.346227003994478,0.0168350654408322,0.47625280018804,0.0264287321966751,42108.5845533321,451.198931703647,39661.1665540424,293.516574958115,52.92
1237651735227334756,196.506750037382,1.54447132662922,311.326588165044,64.1781060563827,-0.24669956,1.07586428,0.829164720000001,8917.516,378.55908,2.8894048,0.35546517,2.8894048,0.0935,3.4068594,0.5174547,-118.84385,9.737181,0.612343898512705,0.0436270202377251,0.657467366976249,0.0322705320615014,32404.3313427757,690.642560038496,31737.9133863588,225.990497821196,100.0
1237667781232296055,204.911552323228,20.0886886927457,2.9536778408354,76.9157672085765,-0.0936330999999981,1.18706913,1.09343603,7959.1914,12.450537,3.2567363,0.029432831,3.2567363,0.1836,3.2582588,0.0015226603,-163.33386000000002,11.429967,0.400797261090818,0.0361776293844926,0.447423463860067,0.0314041142154153,44311.2135067585,871.055525690486,43369.8982475163,452.632087533902,100.0
1237667781233148036,206.928730118528,19.8868540250526,6.58972655075614,75.2213866274994,-0.0141123600000022,1.1979142,1.18380184,7630.7646,86.937164,2.9432406,0.16547528,3.1221123,0.1431,2.8797832,0.24232912,-25.055999999999997,9.165567999999999,0.339809031840096,0.0266784698006938,0.397116742660241,0.0388485606305669,67737.6949038879,1222.00578519227,65973.4007662581,871.65374910996,100.0
1237648704047939843,201.129018314379,-0.398213808423489,320.386599650203,61.3474460444356,-0.010918629999999,0.803175570000001,0.792256940000002,7558.8115,83.55391,4.271812,0.37787512,3.6250286,0.0864,4.252013,0.6269846,-224.11102000000002,14.817957,0.337744945204125,0.0160438225949748,0.697953408266766,0.0528684504487079,64791.4764977691,703.366573266499,54887.8455621899,436.863665385437,92.01
